127  [grizzly-http-server-0] INFO  org.example.MyApp - Example log from MyResource class, get method: hello()
161  [grizzly-http-server-0] INFO  org.example.MyApp - Example log from MyResource class, get method: hello()
42712 [grizzly-http-server-1] INFO  org.example.MyApp - Example log from MyResource class, get method : gethelloHk2()
85   [grizzly-http-server-1] INFO  org.example.MyApp - Example log from MyResource class, get method : gethelloHk2()
77   [grizzly-http-server-2] INFO  org.example.MyApp - Example log from MyResource class, get method : convertCuriositySol()
130  [grizzly-http-server-0] INFO  org.example.MyApp - Example log from MyResource class, get method : convertCuriositySol()
108  [grizzly-http-server-0] INFO  org.example.MyApp - Example log from MyResource class, get method : convertCuriositySol()
21688 [grizzly-http-server-1] INFO  org.example.MyApp - Example log from MyResource class, get method : convertCuriositySol()
266  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : convertCuriositySol()
146  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : convertCuriositySol()
138  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : convertCuriositySol()
226  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
275  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
325  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
332  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
143  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
309  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
318  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
367  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
29063 [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
21614 [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
251  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
29377 [grizzly-http-server-1] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
90   [grizzly-http-server-0] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
195  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
162  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
173  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
186  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
188  [Test worker] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
88   [grizzly-http-server-0] INFO  org.example.MyApp - Example log from MyResource class, get method : curiosityDateConversion()
91   [grizzly-http-server-0] INFO  org.example.MyApp - request is successfull MyResource class, get method : curiosityDateConversion()
79520 [grizzly-http-server-1] INFO  org.example.MyApp - request is successfull MyResource class, get method : curiosityDateConversion()
268498 [grizzly-http-server-1] INFO  org.example.MyApp - request is fail MyResource class, get method : curiosityDateConversion()
108556 [grizzly-http-server-0] INFO  org.example.MyApp - request is successfull MyResource class, get method : curiosityDateConversion()
507978 [grizzly-http-server-0] INFO  org.example.MyApp - request is fail MyResource class, get method : curiosityDateConversion()
89   [grizzly-http-server-0] INFO  org.example.MyApp - request is successfull with RCOKMyResource class, get method : curiosityDateConversion()
91   [grizzly-http-server-0] INFO  org.example.MyApp - request is fail Bad RequestMyResource class, get method : curiosityDateConversion()
